Player,matched_name,match_status,Stamina,Pace,Acceleration,Work Rate,source_url
Waldemar Anton,Waldemar Anton FM26 Profile,partial,150,140,120,170,https://fmplayer.net/fm-26/waldemar-anton-91137493
Leandro Antonetti,Leandro Antonetti FM26 Profile,partial,70,130,120,110,https://fmplayer.net/fm-26/leandro-antonetti-2000202080
Michail Antonio,Michail Antonio FM26 Profile,partial,130,140,140,140,https://fmplayer.net/fm-26/michail-antonio-28036815
Dennis Appiah,Dennis Appiah FM26 Profile,partial,140,130,130,130,https://fmplayer.net/fm-26/dennis-appiah-85010865
Aritz Arambarri,Aritz Arambarri FM26 Profile,partial,140,130,120,130,https://fmplayer.net/fm-26/aritz-arambarri-67246389
Mauro Arambarri,Mauro Arambarri FM26 Profile,partial,160,140,140,160,https://fmplayer.net/fm-26/mauro-arambarri-78064881
Jon Aramburu,Jon Aramburu FM26 Profile,partial,150,130,140,180,https://fmplayer.net/fm-26/jon-aramburu-86080170
Julian Araujo,Julián Araujo FM26 Profile,first_result,150,150,140,150,https://fmplayer.net/fm-26/julian-araujo-72053642
Ronald Araújo,Ronald Araujo FM26 Profile,first_result,150,160,140,170,https://fmplayer.net/fm-26/ronald-araujo-78085068
Cameron Archer,Cameron Archer FM26 Profile,partial,120,160,160,140,https://fmplayer.net/fm-26/cameron-archer-29219088
Carlens Arcus,Carlens Arcus FM26 Profile,partial,150,150,140,140,https://fmplayer.net/fm-26/carlens-arcus-19165169
Adu Ares,Adu Ares FM26 Profile,partial,120,140,150,120,https://fmplayer.net/fm-26/adu-ares-2000105641
Jesús Areso,Jesús Areso FM26 Profile,partial,160,140,140,150,https://fmplayer.net/fm-26/jesus-areso-67256097
David Argüelles,David Argüelles FM26 Profile,partial,80,130,120,60,https://fmplayer.net/fm-26/david-arguelles-67288501
Harrison Armstrong,Harrison Armstrong FM26 Profile,partial,120,140,130,130,https://fmplayer.net/fm-26/harrison-armstrong-2000288697
Marko Arnautović,Marko Arnautović FM26 Profile,partial,120,120,110,130,https://fmplayer.net/fm-26/marko-arnautovic-37003555
Maximilian Arnold,Maximilian Arnold FM26 Profile,partial,170,120,120,170,https://fmplayer.net/fm-26/maximilian-arnold-91100466
Sergio Arribas,Sergio Arribas FM26 Profile,partial,120,140,150,120,https://fmplayer.net/fm-26/sergio-arribas-67277465
Arthur,Arthur Theate FM26 Profile,partial,130,130,130,180,https://fmplayer.net/fm-26/arthur-theate-18105815
Raúl Asencio,Raúl Asencio FM26 Profile,partial,140,140,140,160,https://fmplayer.net/fm-26/raul-asencio-2000126407
Marco Asensio,Marco Asensio FM26 Profile,partial,140,130,140,140,https://fmplayer.net/fm-26/marco-asensio-67197125
Kristjan Asllani,Kristjan Asllani FM26 Profile,partial,160,130,130,110,https://fmplayer.net/fm-26/kristjan-asllani-43424567
Valentin Atangana Edoa,Valentin Atangana FM26 Profile,first_result,150,100,130,150,https://fmplayer.net/fm-26/valentin-atangana-2000130972
Tommaso Augello,Tommaso Augello FM26 Profile,partial,150,140,130,170,https://fmplayer.net/fm-26/tommaso-augello-43096264
Carlos Augusto,Carlos Augusto FM26 Profile,partial,140,150,150,150,https://fmplayer.net/fm-26/carlos-augusto-19350649
Yann Aurel Bisseck,Yann Aurel Bisseck FM26 Profile,partial,130,140,130,150,https://fmplayer.net/fm-26/yann-aurel-bisseck-91175868
Ezequiel Ávila,Ezequiel Ávila FM26 Profile,partial,100,130,130,160,https://fmplayer.net/fm-26/ezequiel-avila-14027117
Taiwo Awoniyi,Taiwo Awoniyi FM26 Profile,partial,130,150,160,130,https://fmplayer.net/fm-26/taiwo-awoniyi-13136629
Yasin Ayari,Yasin Ayari FM26 Profile,partial,140,130,150,150,https://fmplayer.net/fm-26/yasin-ayari-93142470
Florian Ayé,Florian Ayé FM26 Profile,partial,140,140,140,140,https://fmplayer.net/fm-26/florian-aye-85116733
André Ayew,André Ayew FM26 Profile,partial,100,90,90,140,https://fmplayer.net/fm-26/andre-ayew-8442448
Neil El Aynaoui,Neil El Aynaoui FM26 Profile,partial,140,130,120,150,https://fmplayer.net/fm-26/neil-el-aynaoui-49045412
Ayman Azhil,Ayman Azhil FM26 Profile,partial,150,110,120,150,https://fmplayer.net/fm-26/ayman-azhil-92096837
Adam Aznou,Adam Aznou FM26 Profile,partial,130,140,150,130,https://fmplayer.net/fm-26/adam-aznou-2000191507
César Azpilicueta,César Azpilicueta FM26 Profile,partial,120,110,130,160,https://fmplayer.net/fm-26/cesar-azpilicueta-67033300
Paulo Azzi,Paulo Azzi FM26 Profile,partial,140,140,150,130,https://fmplayer.net/fm-26/paulo-azzi-19219300
Oussama El Azzouzi,Oussama El Azzouzi FM26 Profile,partial,130,130,130,130,https://fmplayer.net/fm-26/oussama-el-azzouzi-37076232
Papa Ba,Papa Bacary Sy FM26 Profile,partial,130,120,130,120,https://fmplayer.net/fm-26/papa-bacary-sy-2000429770
Jacopo Bacci,Jacopo Bacci FM26 Profile,partial,130,120,130,100,https://fmplayer.net/fm-26/jacopo-bacci-2000101147
Loïc Bade,Loïc Badé FM26 Profile,first_result,130,150,140,160,https://fmplayer.net/fm-26/loic-bade-49039789
Milan Badelj,Juraj Badelj FM26 Profile,first_result,130,130,130,130,https://fmplayer.net/fm-26/juraj-badelj-2000227111
Benoît Badiashile,,not_found,,,,,
Juma Bah,Juma Bah FM26 Profile,partial,150,150,140,130,https://fmplayer.net/fm-26/juma-bah-2000399711
Eric Bailly,Éric Bailly FM26 Profile,first_result,150,140,130,120,https://fmplayer.net/fm-26/eric-bailly-67191910
Theo Bair,Theo Bair FM26 Profile,partial,130,140,120,120,https://fmplayer.net/fm-26/theo-bair-72051708
Cédric Bakambu,Cédric Bakambu FM26 Profile,partial,120,130,140,140,https://fmplayer.net/fm-26/cedric-bakambu-34009930
Mitchel Bakker,,not_found,,,,,
Alejandro Balde,Alejandro Balde FM26 Profile,partial,150,170,170,140,https://fmplayer.net/fm-26/alejandro-balde-67296654
Keita Baldé,Keita Baldé FM26 Profile,partial,120,140,150,120,https://fmplayer.net/fm-26/keita-balde-43093942
Carlos Baleba,Carlos Baleba FM26 Profile,partial,160,150,140,140,https://fmplayer.net/fm-26/carlos-baleba-2000166563
Leonardo Balerdi,Leonardo Balerdi FM26 Profile,partial,120,130,130,120,https://fmplayer.net/fm-26/leonardo-balerdi-14196664
Iván Balliu,Iván Balliu FM26 Profile,partial,140,120,130,150,https://fmplayer.net/fm-26/ivan-balliu-67053461
Botond Balogh,Botond Balogh FM26 Profile,partial,150,130,130,140,https://fmplayer.net/fm-26/botond-balogh-38059041
Folarin Balogun,Folarin Balogun FM26 Profile,partial,130,150,160,130,https://fmplayer.net/fm-26/folarin-balogun-28116305
Abdoulaye Bamba,Abdoulaye Bamba FM26 Profile,partial,130,130,130,140,https://fmplayer.net/fm-26/abdoulaye-bamba-43013866
Mohamed Bamba,Mohamed Bamba FM26 Profile,partial,120,140,140,140,https://fmplayer.net/fm-26/mohamed-bamba-12078881
Daniel Bandeira,Bandeira FM26 Profile,first_result,130,130,130,110,https://fmplayer.net/fm-26/bandeira-43390109
Mattia Bani,Mattia Bani FM26 Profile,partial,130,130,110,130,https://fmplayer.net/fm-26/mattia-bani-43091093
Noahkai Banks,Noahkai Banks FM26 Profile,partial,110,140,130,130,https://fmplayer.net/fm-26/noahkai-banks-2000311773
Adrian Baquerin,Adrián Spörle FM26 Profile,first_result,150,120,140,120,https://fmplayer.net/fm-26/adrian-sporle-14101648
Antonín Barák,Antonín Barák FM26 Profile,partial,90,120,90,90,https://fmplayer.net/fm-26/antonin-barak-25040431
Federico Barba,Federico Barba FM26 Profile,partial,130,120,130,130,https://fmplayer.net/fm-26/federico-barba-43067335
Bradley Barcola,Bradley Barcola FM26 Profile,partial,120,170,170,140,https://fmplayer.net/fm-26/bradley-barcola-49056282
Nicolò Barella,Nicolò Barella FM26 Profile,partial,170,140,150,180,https://fmplayer.net/fm-26/nicolo-barella-43139595
Borna Barišić,Borna Barišić FM26 Profile,partial,130,120,120,100,https://fmplayer.net/fm-26/borna-barisic-24044137
Téo Barisic,Téo Barišić FM26 Profile,first_result,120,110,110,130,https://fmplayer.net/fm-26/teo-barisic-2000107108
Ross Barkley,Ross Barkley FM26 Profile,partial,120,130,130,140,https://fmplayer.net/fm-26/ross-barkley-28058224
Aymen Barkok,Aymen Barkok FM26 Profile,partial,160,130,120,100,https://fmplayer.net/fm-26/aymen-barkok-91143866
Harvey Barnes,Harvey Barnes FM26 Profile,partial,130,150,150,120,https://fmplayer.net/fm-26/harvey-barnes-28100207
Enzo Barrenechea,Enzo Barrenechea FM26 Profile,partial,130,120,100,150,https://fmplayer.net/fm-26/enzo-barrenechea-14217325
Pablo Barrios,Pablo Barrios FM26 Profile,partial,150,140,140,150,https://fmplayer.net/fm-26/pablo-barrios-2000125958
Thierno Barry,Thierno Barry FM26 Profile,partial,150,160,140,140,https://fmplayer.net/fm-26/thierno-barry-2000127926
Davide Bartesaghi,Davide Bartesaghi FM26 Profile,partial,120,130,120,110,https://fmplayer.net/fm-26/davide-bartesaghi-2000183044
Marc Bartra,Marc Bartra FM26 Profile,partial,130,140,120,150,https://fmplayer.net/fm-26/marc-bartra-67063004
Federico Baschirotto,Federico Baschirotto FM26 Profile,partial,130,130,130,140,https://fmplayer.net/fm-26/federico-baschirotto-43155683
Daniele Baselli,Daniele Baselli FM26 Profile,partial,110,120,120,120,https://fmplayer.net/fm-26/daniele-baselli-43058949
Calvin Bassey,Calvin Bassey FM26 Profile,partial,190,150,140,150,https://fmplayer.net/fm-26/calvin-bassey-28111079
Aboubacar Bassinga,Déo Gracias Bassinga FM26 Profile,first_result,130,120,140,140,https://fmplayer.net/fm-26/deo-gracias-bassinga-2000230887
Alessandro Bastoni,,not_found,,,,,
Michy Batshuayi,Michy Batshuayi FM26 Profile,partial,110,120,130,120,https://fmplayer.net/fm-26/michy-batshuayi-18053710
Dylan Batubinsika,Dylan Batubinsika FM26 Profile,partial,140,120,110,130,https://fmplayer.net/fm-26/dylan-batubinsika-85121090
Maximilian Bauer,Maximilian Bauer FM26 Profile,partial,120,130,110,150,https://fmplayer.net/fm-26/maximilian-bauer-91188907
Christoph Baumgartner,Christoph Baumgartner FM26 Profile,partial,150,130,140,170,https://fmplayer.net/fm-26/christoph-baumgartner-16184707
Rafael Bauza,Juan Bauzá FM26 Profile,first_result,100,100,120,80,https://fmplayer.net/fm-26/juan-bauza-14182883
Ihlas Bebou,Ihlas Bebou FM26 Profile,partial,120,150,150,130,https://fmplayer.net/fm-26/ihlas-bebou-91132870
Timo Becker,Timo Becker FM26 Profile,partial,140,150,120,160,https://fmplayer.net/fm-26/timo-becker-91175611
Jan Bednarek,Jan Bednarek FM26 Profile,partial,150,130,130,150,https://fmplayer.net/fm-26/jan-bednarek-96047750
Donny van de Beek,Donny van de Beek FM26 Profile,partial,150,120,110,170,https://fmplayer.net/fm-26/donny-van-de-beek-37048153
Hannes Behrens,Kevin Behrens FM26 Profile,first_result,130,130,120,170,https://fmplayer.net/fm-26/kevin-behrens-91103807
Kevin Behrens,Kevin Behrens FM26 Profile,partial,130,130,120,170,https://fmplayer.net/fm-26/kevin-behrens-91103807
Luken Beitia,Luken Beitia FM26 Profile,partial,60,120,140,90,https://fmplayer.net/fm-26/luken-beitia-2000141451
Reda Belahyane,Reda Belahyane FM26 Profile,partial,140,130,130,150,https://fmplayer.net/fm-26/reda-belahyane-2000031073
Haris Belkebla,Haris Belkebla FM26 Profile,partial,160,110,120,160,https://fmplayer.net/fm-26/haris-belkebla-85099581
Yassin Belkhdim,Yassin Belkhdim FM26 Profile,partial,160,120,130,140,https://fmplayer.net/fm-26/yassin-belkhdim-2000009119
Stefan Bell,Stefan Bell FM26 Profile,partial,110,100,90,120,https://fmplayer.net/fm-26/stefan-bell-91004660
Armel Bella Kotchap,Armel Bella-Kotchap FM26 Profile,first_result,110,150,140,140,https://fmplayer.net/fm-26/armel-bella-kotchap-92102718
Raoul Bellanova,Raoul Bellanova FM26 Profile,partial,150,170,160,130,https://fmplayer.net/fm-26/raoul-bellanova-43295110
Héctor Bellerín,Héctor Bellerín FM26 Profile,partial,140,160,160,150,https://fmplayer.net/fm-26/hector-bellerin-28066082
Jude Bellingham,Jude Bellingham FM26 Profile,partial,160,150,160,180,https://fmplayer.net/fm-26/jude-bellingham-29232937
Andrea Belotti,Andrea Belotti FM26 Profile,partial,130,110,100,160,https://fmplayer.net/fm-26/andrea-belotti-43066936
Fran Beltrán,Fran Beltrán FM26 Profile,partial,130,110,130,170,https://fmplayer.net/fm-26/fran-beltran-67232115
Carlos Benavídez,Carlos Benavídez FM26 Profile,partial,150,130,110,160,https://fmplayer.net/fm-26/carlos-benavidez-78081773
Ismaël Bennacer,Ismaël Bennacer FM26 Profile,partial,130,130,140,160,https://fmplayer.net/fm-26/ismael-bennacer-48032338
Ramy Bensebaini,Ramy Bensebaïni FM26 Profile,first_result,140,140,130,140,https://fmplayer.net/fm-26/ramy-bensebaini-12038706
Nabil Bentaleb,Nabil Bentaleb FM26 Profile,partial,140,110,120,140,https://fmplayer.net/fm-26/nabil-bentaleb-28085752
Rodrigo Bentancur,Rodrigo Bentancur FM26 Profile,partial,150,130,120,150,https://fmplayer.net/fm-26/rodrigo-bentancur-14094572
Lucas Beraldo,Beraldo FM26 Profile,first_result,140,130,130,140,https://fmplayer.net/fm-26/beraldo-2000094252
Yuri Berchiche,Hani Berchiche FM26 Profile,first_result,80,120,120,100,https://fmplayer.net/fm-26/hani-berchiche-2000118097
Sander Berge,Sander Berge FM26 Profile,partial,140,130,130,120,https://fmplayer.net/fm-26/sander-berge-53101282
Lucas Bergvall,Lucas Bergvall FM26 Profile,partial,140,130,160,140,https://fmplayer.net/fm-26/lucas-bergvall-2000169739
Medon Berisha,Medon Berisha FM26 Profile,partial,130,130,130,100,https://fmplayer.net/fm-26/medon-berisha-2000048682
Adrian Bernabe,Adrián Bernabé FM26 Profile,first_result,140,140,140,120,https://fmplayer.net/fm-26/adrian-bernabe-67271025
Marc Bernal,Marc Bernal FM26 Profile,partial,130,120,110,120,https://fmplayer.net/fm-26/marc-bernal-2000295603
Bernardo,Bernardo Silva FM26 Profile,partial,160,120,130,200,https://fmplayer.net/fm-26/bernardo-silva-55041632
Maxime Bernauer,Maxime Bernauer FM26 Profile,partial,140,100,120,140,https://fmplayer.net/fm-26/maxime-bernauer-85145137
Antoine Bernede,Antoine Bernede FM26 Profile,partial,140,130,130,130,https://fmplayer.net/fm-26/antoine-bernede-48031590
Victor Bernth Kristiansen,Patrick Bernth FM26 Profile,first_result,110,70,90,60,https://fmplayer.net/fm-26/patrick-bernth-27092386
Matúš Bero,Matúš Bero FM26 Profile,partial,160,130,120,170,https://fmplayer.net/fm-26/matus-bero-63025586
Juan Berrocal,Juan Berrocal FM26 Profile,partial,150,130,120,130,https://fmplayer.net/fm-26/juan-berrocal-67248397
Beto,Beto FM26 Profile,partial,130,160,160,160,https://fmplayer.net/fm-26/beto-83228124
Sam Beukema,Sam Beukema FM26 Profile,partial,150,140,130,150,https://fmplayer.net/fm-26/sam-beukema-37063774
Alessandro Bianco,Alessandro Bianco FM26 Profile,partial,140,140,130,140,https://fmplayer.net/fm-26/alessandro-bianco-43458331
Mika Biereth,Mika Biereth FM26 Profile,partial,140,130,150,160,https://fmplayer.net/fm-26/mika-biereth-29233148
Jaka Bijol,Jaka Bijol FM26 Profile,partial,130,130,120,140,https://fmplayer.net/fm-26/jaka-bijol-62215974
Philip Billing,Philip Billing FM26 Profile,partial,150,140,110,160,https://fmplayer.net/fm-26/philip-billing-29121437
Cristiano Biraghi,Cristiano Biraghi FM26 Profile,partial,130,130,130,140,https://fmplayer.net/fm-26/cristiano-biraghi-43029905
Yves Bissouma,Yves Bissouma FM26 Profile,partial,160,140,160,140,https://fmplayer.net/fm-26/yves-bissouma-13174979
Leonardo Bittencourt,Leonardo Bittencourt FM26 Profile,partial,140,130,130,160,https://fmplayer.net/fm-26/leonardo-bittencourt-92014331
Emmanuel Biumla,Emmanuel Biumla FM26 Profile,partial,140,120,130,150,https://fmplayer.net/fm-26/emmanuel-biumla-2000209925
Antonio Blanco,Antonio Blanco FM26 Profile,partial,140,120,130,150,https://fmplayer.net/fm-26/antonio-blanco-67256515
Daley Blind,Daley Blind FM26 Profile,partial,130,110,110,160,https://fmplayer.net/fm-26/daley-blind-37005632
Myron Boadu,Myron Boadu FM26 Profile,partial,110,150,160,80,https://fmplayer.net/fm-26/myron-boadu-37060951
Oscar Bobb,Oscar Bobb FM26 Profile,partial,130,140,150,140,https://fmplayer.net/fm-26/oscar-bobb-28126241
Mathéo Bodmer,Mathéo Bodmer FM26 Profile,partial,80,100,100,130,https://fmplayer.net/fm-26/matheo-bodmer-2000104848
